amount:10000
amount:60000
0.8569	0.8323	0.8122	
0.6708	0.7598	0.6515	
0.711	0.7275	0.7524	
0.4874	0.5563	0.7515	
0.6935	0.753	0.763	
0.7555	0.7884	0.7888	
0.8159	0.7326	0.7945	
0.7548	0.771	0.6311	
0.7641	0.787	0.8042	
0.7774	0.8438	0.7887	
0.6174	0.6456	0.7867	
0.5877	0.6918	0.6148	
0.7467	0.7974	0.7589	
0.6721	0.7944	0.3792	
0.8177	0.7698	0.8499	
0.7338	0.7815	0.8521	
0.8023	0.787	0.798	
0.77	0.7781	0.6658	
0.5918	0.57	0.7278	
0.8131	0.8029	0.8062	
0.7968	0.7716	0.8453	
0.7123	0.8332	0.5182	
0.8362	0.7991	0.7139	
0.7013	0.6249	0.649	
0.8037	0.7764	0.8316	
0.845	0.8017	0.7707	
0.7862	0.8261	0.5003	
0.8043	0.7833	0.7516	
0.8373	0.85	0.7069	
0.8017	0.7739	0.8129	
0.763	0.7129	0.77	
0.6027	0.545	0.7843	
0.735	0.7765	0.7625	
0.3984	0.4807	0.7027	
0.7841	0.8161	0.8287	
0.6227	0.7816	0.6962	
0.7344	0.8254	0.7418	
0.6587	0.7898	0.7154	
0.8046	0.8614	0.8269	
0.7607	0.8011	0.7045	
0.6583	0.6792	0.6578	
0.8406	0.794	0.7839	
0.8353	0.8354	0.7554	
0.7441	0.79	0.7518	
0.7203	0.7999	0.8333	
0.8227	0.6413	0.815	
0.7948	0.6804	0.6072	
0.7808	0.6898	0.7216	
0.8428	0.7799	0.6761	
0.8462	0.8324	0.4359	
0.5002	0.5676	0.6949	
0.6572	0.4973	0.8359	
0.7735	0.8485	0.8169	
0.8102	0.7447	0.8753	
0.8027	0.7451	0.8306	
0.7949	0.7572	0.7394	
0.7849	0.8033	0.7496	
0.804	0.8617	0.7994	
0.6034	0.6843	0.755	
0.7652	0.7767	0.7403	
0.8152	0.7577	0.7726	
0.277	0.3123	0.6968	
0.8362	0.8121	0.8228	
0.819	0.7602	0.8085	
0.8464	0.71	0.7578	
0.8109	0.8431	0.7889	
0.7654	0.7789	0.7338	
0.8194	0.7566	0.8344	
0.7303	0.7882	0.7531	
0.6838	0.6832	0.6665	
0.5984	0.6505	0.8532	
0.8274	0.7323	0.8326	
0.8143	0.7713	0.5463	
0.7756	0.8309	0.7343	
0.8197	0.833	0.8403	
0.7838	0.8476	0.7719	
0.8271	0.6723	0.7681	
0.7325	0.532	0.7963	
0.7212	0.7504	0.7536	
0.8129	0.734	0.663	
0.7311	0.7441	0.5924	
0.6279	0.5662	0.6927	
0.7722	0.7794	0.3511	
0.7815	0.8002	0.5335	
0.7207	0.6396	0.7758	
0.7871	0.8249	0.753	
0.8793	0.784	0.8145	
0.732	0.8126	0.7238	
0.8297	0.7419	0.7382	
0.7163	0.7695	0.8111	
0.813	0.7968	0.6903	
0.7828	0.766	0.5842	
0.7568	0.7268	0.8167	
0.8517	0.6762	0.813	
0.8371	0.8004	0.7731	
0.8256	0.7856	0.7749	
0.8485	0.857	0.8236	
0.8366	0.6808	0.7989	
0.797	0.7995	0.5438	
0.7556	0.7767	0.7392	
